ticker,date,setup_type,score,sm_score,flow_score,status,entry_date,exit_date,days_in_trade,result_r,result_pct,rr_zone
NVDA,2017-06-08,EMA Pullback,70,5,0.0,WIN,2017-07-03,2017-07-12,9,0.928822062650187,9.140235823411908,2.0
NVDA,2017-07-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-07-13,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-07-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-07-17,EMA Pullback,70,5,0.0,WIN,2017-08-11,2017-09-15,35,1.367033827968701,11.165465762603475,2.0
NVDA,2017-09-15,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-09-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-09-19,EMA Pullback,70,5,0.0,WIN,2017-09-25,2017-10-27,32,1.820196231754615,12.64382340098084,2.0
NVDA,2017-10-27,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2017-10-30,EMA Pullback,70,5,0.0,WIN,2017-11-29,2018-01-11,43,1.56333589443491,11.865165651836742,2.0
NVDA,2018-01-11,EMA Pullback,70,5,0.0,WIN,2018-02-05,2018-02-15,10,2.029851053919112,13.187879534580327,2.0
NVDA,2018-02-15,EMA Pullback,70,5,0.0,PARTIAL_WIN,2018-03-01,2018-04-04,34,0.03241430384712374,0.23026023407016677,2.0
NVDA,2018-05-07,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2018-05-08,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2018-05-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2018-05-10,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2018-05-11,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2018-05-14,EMA Pullback,70,5,0.0,WIN,2018-05-21,2018-09-04,106,2.2728212853930128,13.736461198970066,2.0
NVDA,2018-09-04,EMA Pullback,70,5,0.0,PARTIAL_WIN,2018-09-12,2018-10-10,28,0.13748683586349586,0.8922984774457375,2.0
NVDA,2019-10-11,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-15,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-16,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-17,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-21,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-22,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-23,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-24,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-25,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-28,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
NVDA,2019-10-29,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0
