date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2018-07-31,NFLX,LOSS,-1.0066352654202002,-1.0066352654202002,131815.92227339794,-1.1160860592434707
2018-08-17,AAPL,WIN,2.066555003660004,2.066555003660004,134539.9708107594,0.0
2018-08-28,AMZN,WIN,1.9059312487400926,1.9059312487400928,137104.21015648748,0.0
2018-09-04,NVDA,WIN,2.2728210835082594,2.2728210835082594,140220.3435513016,0.0
2018-10-08,NFLX,LOSS,-1.0,-1.0,138818.14011578858,-1.0000000000000009
2018-10-10,AMZN,PARTIAL_WIN,0.10117162944368352,0.1011716294436835,138958.58469010712,-0.8998400868507672
2018-10-10,GOOGL,LOSS,-1.0,-1.0,137568.99884320603,-1.8908416859822696
2018-10-10,NVDA,PARTIAL_WIN,0.1374866682752014,0.1374866682752014,137758.1378762951,-1.7559546729434938
2018-11-05,AAPL,PARTIAL_WIN,-0.014425896915305214,-0.014425896915305214,137738.26502933263,-1.770127257647791
2018-12-24,MSFT,PARTIAL_WIN,0.13925675273299087,0.13925675273299087,137930.07486448323,-1.6333355266530458
2019-03-08,AMD,LOSS,-1.1410802279249967,-1.1410802279249967,136356.18205184248,-2.7557780858277314
2019-03-21,AMD,WIN,2.08124212151131,2.08124212151131,139194.08434799005,-0.7318903786140529
2019-04-25,META,WIN,2.058117999075094,2.058117999075094,142058.8628516038,0.0
2019-04-25,MSFT,WIN,2.334530406411251,2.334530406411251,145375.27019987654,0.0
2019-05-23,AAPL,LOSS,-1.0,-1.0,143921.51749787776,-1.000000000000012
2019-06-03,GOOGL,PARTIAL_WIN,0.016280984706271373,0.016280984706271373,143944.94933813062,-0.9838818251407977
2019-06-03,META,LOSS,-1.0,-1.0,142505.4998447493,-1.9740430068893922
2019-06-06,AMD,WIN,1.4401827298432563,1.4401827298432563,144557.8394425902,-0.5622901035110428
2019-07-09,AMZN,WIN,2.780038076521313,2.780038076521313,148576.60242169074,0.0
2019-07-19,NFLX,PARTIAL_WIN,-0.025861432559249886,-0.025861432559249886,148538.17838385663,-0.025861432559248776
2019-08-05,AMD,PARTIAL_WIN,0.0794433632510474,0.0794433632510474,148656.1821084766,0.0
2019-08-05,AMZN,LOSS,-1.2230460628662472,-1.2230460628662472,146838.04852599162,-1.2230460628662398
2019-08-23,META,LOSS,-1.0,-1.0,145369.6680407317,-2.2108156022375924
2019-10-11,AAPL,WIN,2.3459814035275377,2.3459814035275377,148780.01341933696,0.0
2019-10-28,MSFT,WIN,1.81181881497448,1.81181881497448,151475.63769539006,0.0
2019-12-19,AMD,WIN,1.2254947353315715,1.2254947353315715,153331.963660657,0.0
2019-12-19,NVDA,WIN,1.5471146170951604,1.5471146170951604,155704.18488313004,0.0
2019-12-27,GOOGL,WIN,2.7470474908129483,2.7470474908129483,159981.4527870528,0.0
2020-01-02,AAPL,WIN,1.5130367814773886,1.5130367814773886,162402.0310112628,0.0
2020-01-30,MSFT,WIN,2.1494714763499294,2.1494714763499294,165892.81634486286,0.0
2020-02-11,AMD,WIN,1.0912866814962434,1.0912866814962434,167703.18255519337,0.0
2020-02-11,AMZN,WIN,2.5458108090875564,2.5458108090875564,171972.58830386732,0.0
2020-02-11,NVDA,WIN,1.54341091389364,1.54341091389364,174626.8320006546,0.0
2020-02-18,NFLX,WIN,1.8862894687275946,1.8862894687275946,177920.79954225558,0.0
2020-02-27,AAPL,PARTIAL_WIN,-0.09673329838965755,-0.09673329838965755,177748.6908843371,-0.09673329838967293
2020-02-27,AMD,LOSS,-1.0515594039028264,-1.0515594039028264,175879.5578100287,-1.1472754941965646
2020-02-28,AMZN,LOSS,-1.2023546370566967,-1.2023546370566967,173764.861791065,-2.3358358111489785
2020-02-28,MSFT,LOSS,-1.0081575904373612,-1.0081575904373612,172013.03814740537,-3.3204444955560852
2020-03-06,GOOGL,PARTIAL_WIN,0.20803304885608664,0.20803304885608662,172370.8821150934,-3.119319068619675
2020-03-06,META,PARTIAL_WIN,0.3541389759683792,0.3541389759683792,172981.31459188348,-2.7762268172580873
2020-03-12,NFLX,PARTIAL_WIN,-0.2100313714672311,-0.21003137146723114,172617.9995644641,-2.9804272414659994
2020-03-12,NVDA,PARTIAL_WIN,-0.14362923866712307,-0.14362923866712307,172370.06964588724,-3.1197757151771643
