ticker,date,setup_type,score,sm_score,flow_score,status,entry_date,exit_date,days_in_trade,result_r,result_pct,rr_zone,distance_ema20_pct,distance_ema50_pct,trend_strength_pct,volatility_20d_pct,atr14,atr14_pct,is_executed,is_win,is_loss,event_date
AAPL,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.442528703424665,2.0,1.2633897807161176,4.434978282050661,15.27182696318794,1.0536702047264213,0.3596149511414599,1.0000666395517943,True,False,True,2017-06-12
NFLX,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.795980770400412,2.0,2.880932744506226,6.9237320423484405,16.684303003418567,1.3647556719017186,0.2456427301679338,1.4808460325788415,True,False,True,2017-06-12
NFLX,2017-06-23,EMA Pullback,70,5,0.0,LOSS,2017-06-27,2017-07-03,6,-1.0,-5.535199529751578,2.0,0.9959340324082966,2.1468593181488194,11.806137025500972,1.6529836895473091,0.4476429394313267,2.832824567362122,True,False,True,2017-07-03
TSLA,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-07-05,2017-07-06,1,-1.0,-7.894461832788492,2.0,10.92605168638765,18.124064221615495,25.050700782182012,1.9078730456491224,0.6367619378226144,2.5814671824225472,True,False,True,2017-07-06
TSLA,2017-07-24,EMA Pullback,70,5,0.0,LOSS,2017-07-27,2017-08-01,5,-1.0,-5.170915971908331,2.0,2.0492083048369913,2.417730958044162,15.835100224326704,3.0189630431539176,0.8315711702619281,3.641704793710876,True,False,True,2017-08-01
AMD,2017-07-26,EMA Pullback,70,5,0.0,LOSS,2017-07-31,2017-08-09,9,-1.0,-7.111166389465909,2.0,8.088344699041073,13.11584733062796,16.24757242481405,3.247205523232381,0.6428571428571429,4.355400629325352,True,False,True,2017-08-09
AMD,2018-02-01,EMA Pullback,70,5,0.0,LOSS,2018-02-05,2018-02-05,0,-1.0,-7.0612424704239345,2.0,6.025776814020745,10.83543372390652,4.5779631618927175,3.002648921725666,0.5100000926426479,3.84905730296338,True,False,True,2018-02-05
AAPL,2017-11-10,EMA Pullback,70,5,0.0,LOSS,2017-12-06,2018-02-06,62,-1.0799430402501513,-7.067981110456851,2.0,4.840358202720285,8.3645375142118,11.947857303578346,1.352644792420238,0.7292735323264858,1.786102532856861,True,False,True,2018-02-06
GOOGL,2018-01-16,EMA Pullback,70,5,0.0,LOSS,2018-02-05,2018-02-08,3,-1.0,-6.285800120854393,2.0,3.529713762955211,6.410181645479329,10.82993574978306,0.8495843906596322,0.6911579656283361,1.233371577414364,True,False,True,2018-02-08
MSFT,2018-01-29,EMA Pullback,70,5,0.0,LOSS,2018-02-05,2018-02-09,4,-1.0,-6.709707253607386,2.0,4.360128390597051,8.256702485132795,15.920527111357764,0.8897756950910015,1.3283411614393137,1.5446252250704338,True,False,True,2018-02-09
