ticker,date,setup_type,score,sm_score,flow_score,status,entry_date,exit_date,days_in_trade,result_r,result_pct,rr_zone,distance_ema20_pct,distance_ema50_pct,trend_strength_pct,volatility_20d_pct,atr14,atr14_pct,is_executed,is_win,is_loss,event_date
AAPL,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.442529701451461,2.0,1.263409552131356,4.435000935729283,15.27182875005202,1.053659345165469,0.35961414558658994,1.0000641871718923,True,False,True,2017-06-12
NFLX,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.795980770400412,2.0,2.880932744506226,6.9237320423484405,16.684303003418567,1.3647556719017186,0.24564273016793386,1.4808460325788417,True,False,True,2017-06-12
NFLX,2017-06-23,EMA Pullback,70,5,0.0,LOSS,2017-06-27,2017-07-03,6,-1.0,-5.535199529751578,2.0,0.9959340324082966,2.1468593181488194,11.806137025500973,1.6529836895473093,0.4476429394313267,2.832824567362122,True,False,True,2017-07-03
NVDA,2017-06-08,EMA Pullback,70,5,0.0,WIN,2017-07-03,2017-07-12,9,0.9288220718629205,9.140235874710575,2.0,15.265177064438973,28.344643841005457,33.90581845920346,2.8738752421944658,0.11409527801579682,2.8934923998194595,True,True,False,2017-07-12
NVDA,2017-07-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,8.471220104383548,15.63533091240792,31.322630115203754,2.624756163904298,0.1433456560710004,3.577801665265589,False,False,False,2017-07-12
NVDA,2017-07-13,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.484548297757731,13.66032986106054,31.653818919818868,2.647316143628538,0.151463858221924,3.8246710132470345,False,False,False,2017-07-13
NFLX,2017-07-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.375258286554695,4.6449938078549025,8.92156230811494,1.7927956580647195,0.39585719789777485,2.4569091974578066,False,False,False,2017-07-14
NVDA,2017-07-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,8.383399604111297,15.956930872690368,32.208152333010595,2.699991369457604,0.14843490707146081,3.650021636205844,False,False,False,2017-07-14
NFLX,2017-07-17,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.279154588161149,4.815283306249496,9.250813521375356,1.7926952469203172,0.3967142786298479,2.453396887804914,False,False,False,2017-07-17
AAPL,2017-07-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,2.235121384517247,2.288618122448005,7.912069165305358,0.8343902387391491,0.49716162421953974,1.427807294776781,False,False,False,2017-07-18
NFLX,2017-07-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,16.362931070421705,18.130336419479363,10.820205479170708,3.4618666479159623,0.514714241027832,2.8034543786323773,False,False,False,2017-07-18
AAPL,2017-07-19,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,2.5944690329768427,2.8111519004953234,8.081292100567406,0.8038877359854615,0.47263502894128095,1.348920588911789,False,False,False,2017-07-19
NFLX,2017-07-19,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,14.721908931926531,17.454803727876424,12.217739024815044,3.44081679735167,0.5242856570652553,2.851548276964004,False,False,False,2017-07-19
NFLX,2017-07-20,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,12.992883581066273,16.498854135188633,13.43039644142383,3.4422833182390034,0.5086427416120257,2.7703852108003066,False,False,False,2017-07-20
AMD,2017-06-22,EMA Pullback,70,5,0.0,WIN,2017-07-03,2017-07-26,23,2.623651020594087,14.405895576127579,2.0,17.66072836013737,18.889120577272323,8.876199350954671,3.694047208372711,0.8685714176722935,6.040134984422166,True,True,False,2017-07-26
AMD,2017-07-26,EMA Pullback,70,5,0.0,LOSS,2017-07-31,2017-08-09,9,-1.0,-7.111166389465909,2.0,8.088344699041073,13.115847330627961,16.24757242481405,3.247205523232381,0.6428571428571429,4.355400629325352,True,False,True,2017-08-09
NVDA,2017-07-17,EMA Pullback,70,5,0.0,WIN,2017-08-11,2017-09-15,35,1.3670334205572743,11.16546419982908,2.0,7.115126277909689,14.768778260179927,32.60457101089547,2.6988113616627794,0.14399720024784549,3.555989504025895,True,True,False,2017-09-15
NVDA,2017-09-15,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,7.222988619591941,10.790842422612412,25.323625754972134,1.964191540944531,0.10587666943567678,2.382275555613869,False,False,False,2017-09-15
NVDA,2017-09-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,10.426745811685745,14.676330617342416,26.191745296401336,2.113014544078185,0.12054120618336762,2.604641348179724,False,False,False,2017-09-18
NFLX,2017-07-21,EMA Pullback,70,5,0.0,WIN,2017-08-21,2017-10-05,45,1.8977898464637792,12.85373442285431,2.0,14.287968710200328,18.719328864707464,14.77797102354874,3.456214196734645,0.5550712857927594,2.9440505096923766,True,True,False,2017-10-05
NFLX,2017-10-05,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.823025933262339,9.693763385086118,14.76306211874312,2.144124757554714,0.47635691506522043,2.450521813143155,False,False,False,2017-10-05
NFLX,2017-10-06,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,7.911589055682877,11.229978328099467,15.430541460136116,2.1192310495332696,0.5032855442592076,2.541589451044138,False,False,False,2017-10-06
NFLX,2017-10-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.545681013322602,10.126919449249993,15.946362376620794,2.055131305236283,0.5088570458548409,2.584736317141518,False,False,False,2017-10-09
