date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2017-06-12,AAPL,LOSS,-1.0,-1.0,99000.0,-1.0000000000000009
2017-06-12,NFLX,LOSS,-1.0,-1.0,98010.0,-1.9900000000000029
2017-07-03,NFLX,LOSS,-1.0,-1.0,97029.9,-2.970100000000009
2017-07-12,NVDA,WIN,0.9288220718629205,0.9288220718629207,97931.13512750651,-2.068864872493492
2017-07-26,AMD,WIN,2.623651020594087,2.623651020594087,100500.50635375873,0.0
2017-08-09,AMD,LOSS,-1.0,-1.0,99495.50129022115,-0.9999999999999898
2017-09-15,NVDA,WIN,1.3670334205572743,1.3670334205572743,100855.63804480947,0.0
2017-10-05,NFLX,WIN,1.8977898464637792,1.8977898464637795,102769.66610321013,0.0
2017-10-26,AMD,PARTIAL_WIN,0.49881464386470575,0.49881464386470575,103282.2962471838,0.0
2017-10-27,MSFT,WIN,2.131968534184199,2.131968534184199,105484.24230455667,0.0
2017-10-27,NVDA,WIN,1.8201964394843175,1.8201964394843178,107404.26272720122,0.0
2017-10-30,META,WIN,2.194839029916465,2.194839029916465,109761.61340533185,0.0
2017-11-08,AAPL,WIN,2.8752836070642087,2.8752836070642087,112917.57108242456,0.0
2017-11-22,AMZN,WIN,1.8534676268061225,1.8534676268061225,115010.46170741308,0.0
2018-01-11,NVDA,WIN,1.5633362059200209,1.5633362059200209,116808.46189588084,0.0
2018-01-16,AMZN,WIN,1.631092352867349,1.631092352867349,118713.71578536654,0.0
2018-01-16,GOOGL,WIN,1.8007472642719478,1.8007472642719478,120851.4497746871,0.0
2018-01-16,NFLX,WIN,1.8211923164562318,1.821192316456232,123052.38709230967,0.0
2018-01-29,MSFT,WIN,1.8407894965452194,1.8407894965452194,125317.52250915307,0.0
2018-02-05,AMD,LOSS,-1.0,-1.0,124064.34728406154,-1.0000000000000009
2018-02-06,AAPL,LOSS,-1.0799467125847932,-1.0799467125847932,122724.51844407755,-2.0691472454589355
2018-02-08,GOOGL,LOSS,-1.0,-1.0,121497.27325963677,-3.048455773004355
2018-02-09,MSFT,LOSS,-1.0,-1.0,120282.3005270404,-4.017971215274308
2018-02-15,NFLX,WIN,1.0163576543623392,1.0163576543623392,121504.79889529009,-3.0424505189084794
2018-02-15,NVDA,WIN,2.029851478698613,2.029851478698613,123971.1658523559,-1.0743562670566198
2018-02-20,AMZN,WIN,1.5809320899419819,1.5809320899419819,125931.065795591,0.0
2018-03-13,AMD,LOSS,-1.0,-1.0,124671.75513763509,-1.0000000000000009
2018-03-20,META,PARTIAL_WIN,0.2664958484711103,0.2664958484711103,125004.00018929296,-0.7361691100135959
2018-03-23,GOOGL,LOSS,-1.0,-1.0,123753.96018740002,-1.7288074189134695
2018-04-04,NVDA,PARTIAL_WIN,0.03241425135135001,0.03241425135135001,123794.0741071124,-1.6969535475442665
2018-04-13,NFLX,WIN,1.0484095112485439,1.0484095112485439,125091.94295441343,-0.6663350586896599
2018-04-27,AAPL,LOSS,-1.0,-1.0,123841.02352486929,-1.6596717081027723
2018-05-24,NFLX,WIN,1.8185930604562361,1.8185930604562361,126093.18778469054,0.0
2018-06-05,AMZN,WIN,1.415264972626869,1.415264972626869,127877.74050427589,0.0
2018-07-09,AMD,WIN,0.9284390597631716,0.9284390597631716,129065.00739586017,0.0
2018-07-20,MSFT,WIN,2.2388993926865655,2.2388993926865655,131954.64306261693,0.0
