ticker,date,setup_type,score,sm_score,flow_score,status,entry_date,exit_date,days_in_trade,result_r,result_pct,rr_zone,distance_ema20_pct,distance_ema50_pct,trend_strength_pct,volatility_20d_pct,atr14,atr14_pct,is_executed,is_win,is_loss,event_date
AAPL,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.442528703424665,2.0,1.2633897807161176,4.434978282050661,15.27182696318794,1.0536702047264213,0.35961495114145997,1.0000666395517945,True,False,True,2017-06-12
NFLX,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-06-12,2017-06-12,0,-1.0,-6.795980770400412,2.0,2.880932744506226,6.9237320423484405,16.684303003418567,1.3647556719017186,0.24564273016793386,1.4808460325788417,True,False,True,2017-06-12
NFLX,2017-06-23,EMA Pullback,70,5,0.0,LOSS,2017-06-27,2017-07-03,6,-1.0,-5.535199529751578,2.0,0.9959340324082966,2.1468593181488194,11.806137025500973,1.6529836895473093,0.4476429394313267,2.832824567362122,True,False,True,2017-07-03
TSLA,2017-06-08,EMA Pullback,70,5,0.0,LOSS,2017-07-05,2017-07-06,1,-1.0,-7.894461832788492,2.0,10.92605168638765,18.124064221615498,25.050700782182012,1.9078730456491222,0.6367619378226144,2.5814671824225472,True,False,True,2017-07-06
NVDA,2017-06-08,EMA Pullback,70,5,0.0,WIN,2017-07-03,2017-07-12,9,0.9288221939926071,9.140236554757395,2.0,15.265190797716933,28.344657442475185,33.905813449515044,2.8738705051034197,0.1140953402178627,2.893493802332196,True,True,False,2017-07-12
NVDA,2017-07-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,8.47122952439381,15.63534305052945,31.322634364588843,2.6247569091406264,0.14334551316023095,3.57779767250667,False,False,False,2017-07-12
NVDA,2017-07-13,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.484504894849419,13.660282571167336,31.65381795067961,2.6473184356365542,0.15146370844345156,3.8246688429561964,False,False,False,2017-07-13
NFLX,2017-07-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.375258286554695,4.6449938078549025,8.92156230811494,1.7927956580647195,0.39585719789777485,2.4569091974578066,False,False,False,2017-07-14
NVDA,2017-07-14,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,8.38337815500212,15.956905510087061,32.208148807432146,2.6999945675028223,0.1484348097085255,3.6500200980089907,False,False,False,2017-07-14
NFLX,2017-07-17,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.279154588161149,4.815283306249496,9.250813521375356,1.7926952469203172,0.3967142786298479,2.453396887804914,False,False,False,2017-07-17
AAPL,2017-07-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,2.235130929376794,2.2886274861599,7.912070200088528,0.8343875525017816,0.4971602651034627,1.4278032350842529,False,False,False,2017-07-18
NFLX,2017-07-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,16.362931070421705,18.130336419479363,10.820205479170708,3.4618666479159623,0.514714241027832,2.8034543786323773,False,False,False,2017-07-18
AAPL,2017-07-19,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,2.5945078475326566,2.811193091498465,8.081297019712563,0.8038875013552959,0.4726336694102865,1.348916121309505,False,False,False,2017-07-19
NFLX,2017-07-19,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,14.721908931926531,17.454803727876424,12.217739024815044,3.44081679735167,0.5242856570652553,2.851548276964004,False,False,False,2017-07-19
NFLX,2017-07-20,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,12.992883581066273,16.498854135188633,13.43039644142383,3.4422833182390034,0.5086427416120257,2.7703852108003066,False,False,False,2017-07-20
AMD,2017-06-22,EMA Pullback,70,5,0.0,WIN,2017-07-03,2017-07-26,23,2.623651020594087,14.405895576127579,2.0,17.66072836013737,18.889120577272323,8.876199350954671,3.694047208372711,0.8685714176722935,6.040134984422166,True,True,False,2017-07-26
TSLA,2017-07-24,EMA Pullback,70,5,0.0,LOSS,2017-07-27,2017-08-01,5,-1.0,-5.170915971908331,2.0,2.0492083048369913,2.417730958044162,15.835100224326704,3.0189630431539176,0.8315711702619281,3.641704793710876,True,False,True,2017-08-01
AMD,2017-07-26,EMA Pullback,70,5,0.0,LOSS,2017-07-31,2017-08-09,9,-1.0,-7.111166389465909,2.0,8.088344699041073,13.115847330627961,16.24757242481405,3.247205523232381,0.6428571428571429,4.355400629325352,True,False,True,2017-08-09
NVDA,2017-07-17,EMA Pullback,70,5,0.0,WIN,2017-08-11,2017-09-15,35,1.3670335756710623,11.165464794824368,2.0,7.115141125744029,14.768792896475258,32.60456930741162,2.698813749763465,0.14399710130032264,3.5559866417990285,True,True,False,2017-09-15
NVDA,2017-09-15,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,7.222957488567827,10.79080777419945,25.32362279325142,1.9641861457230827,0.10587633290722197,2.3822687503485214,False,False,False,2017-09-15
NVDA,2017-09-18,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,10.426728565189824,14.676309049270998,26.191740359305893,2.113009962602154,0.12054090238899574,2.6046353205581627,False,False,False,2017-09-18
NFLX,2017-07-21,EMA Pullback,70,5,0.0,WIN,2017-08-21,2017-10-05,45,1.8977898464637792,12.85373442285431,2.0,14.287968710200328,18.719328864707464,14.77797102354874,3.456214196734645,0.5550712857927594,2.9440505096923766,True,True,False,2017-10-05
NFLX,2017-10-05,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.823025933262339,9.693763385086118,14.76306211874312,2.144124757554714,0.47635691506522043,2.450521813143155,False,False,False,2017-10-05
NFLX,2017-10-06,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,7.911589055682877,11.229978328099467,15.430541460136116,2.1192310495332696,0.5032855442592076,2.541589451044138,False,False,False,2017-10-06
NFLX,2017-10-09,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,6.545681013322602,10.126919449249993,15.946362376620794,2.055131305236283,0.5088570458548409,2.584736317141518,False,False,False,2017-10-09
NFLX,2017-10-10,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,5.019136889474507,8.736475788319131,16.293515849667095,2.045655589698352,0.529571396963937,2.714637137094144,False,False,False,2017-10-10
NFLX,2017-10-11,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.4568047754159235,8.296069152252583,16.576793016999215,2.0313238141618997,0.5079284395490374,2.605429175088,False,False,False,2017-10-11
NFLX,2017-10-12,EMA Pullback,70,5,0.0,EXPIRED,,,0,0.0,0.0,2.0,4.452531466154364,8.427330003200083,16.85682210204933,2.0211334564365986,0.5111425944737026,2.6097344170606576,False,False,False,2017-10-12
