date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2017-06-12,AAPL,LOSS,-1.0,-1.0,99000.0,-1.0000000000000009
2017-06-12,NFLX,LOSS,-1.0,-1.0,98010.0,-1.9900000000000029
2017-07-03,NFLX,LOSS,-1.0,-1.0,97029.9,-2.970100000000009
2017-07-06,TSLA,LOSS,-1.0,-1.0,96059.601,-3.9403990000000055
2017-07-12,NVDA,WIN,0.9288221939926071,0.9288221939926072,96951.82389354875,-3.0481761064512503
2017-07-26,AMD,WIN,2.623651020594087,2.623651020594087,99495.50141061643,-0.504498589383573
2017-08-01,TSLA,LOSS,-1.0,-1.0,98500.54639651027,-1.499453603489731
2017-08-09,AMD,LOSS,-1.0,-1.0,97515.54093254516,-2.484459067454836
2017-09-15,NVDA,WIN,1.3670335756710623,1.3670335756710623,98848.61111859033,-1.1513888814096762
2017-10-05,NFLX,WIN,1.8977898464637792,1.8977898464637795,100724.5500237694,0.0
2017-10-26,AMD,PARTIAL_WIN,0.49881464386470575,0.49881464386470575,101226.97882925479,0.0
2017-10-27,MSFT,WIN,2.1319700649207904,2.1319700649207904,103385.1077155182,0.0
2017-10-27,NVDA,WIN,1.8201966211607399,1.8201966211607399,105266.91995293944,0.0
2017-10-27,TSLA,PARTIAL_WIN,0.4938897576766067,0.49388975767660676,105786.82248880864,0.0
2017-10-30,META,WIN,2.1948392509675627,2.1948392509675627,108108.67319114441,0.0
2017-11-08,AAPL,WIN,2.875282691111551,2.875282691111551,111217.10315899973,0.0
2017-11-22,AMZN,WIN,1.8534676268061225,1.8534676268061225,113278.47616152334,0.0
2018-01-11,NVDA,WIN,1.5633356727704741,1.5633356727704741,115049.39898892723,0.0
2018-01-16,AMZN,WIN,1.631092352867349,1.631092352867349,116925.96093785549,0.0
2018-01-16,GOOGL,WIN,1.8007474094927152,1.8007474094927152,119031.5021504684,0.0
2018-01-16,NFLX,WIN,1.8211923164562318,1.821192316456232,121199.29472179516,0.0
2018-01-29,MSFT,WIN,1.8407886692875253,1.8407886692875253,123430.31760629035,0.0
2018-02-05,AMD,LOSS,-1.0,-1.0,122196.01443022744,-1.0000000000000009
2018-02-06,AAPL,LOSS,-1.0799430402501513,-1.0799430402501513,120876.36707692513,-2.0691436098476568
2018-02-08,GOOGL,LOSS,-1.0,-1.0,119667.60340615587,-3.048452173749183
2018-02-09,MSFT,LOSS,-1.0,-1.0,118470.92737209432,-4.01796765201169
2018-02-09,TSLA,LOSS,-1.0,-1.0,117286.21809837337,-4.977787975491577
2018-02-15,NFLX,WIN,1.0163576543623392,1.0163576543623392,118478.2655535283,-4.012022450236074
2018-02-15,NVDA,WIN,2.029851062756096,2.029851062756096,120883.1978860016,-2.06360946782409
2018-02-20,AMZN,WIN,1.5809320899419819,1.5809320899419819,122794.27915272948,-0.5153016421700074
2018-03-13,AMD,LOSS,-1.0,-1.0,121566.33636120218,-1.5101486257483088
2018-03-19,TSLA,LOSS,-1.0,-1.0,120350.67299759015,-2.495047139490836
2018-03-20,META,PARTIAL_WIN,0.26649596300358314,0.26649596300358314,120671.40268257639,-2.235200376389024
2018-03-23,GOOGL,LOSS,-1.0,-1.0,119464.68865575062,-3.2128483726251322
2018-04-04,NVDA,PARTIAL_WIN,0.03241422615307321,0.03241422615307321,119503.41221010457,-3.1814755664095085
