date,ticker,status,result_r,trade_return_pct,equity,drawdown_pct
2017-06-12,AAPL,LOSS,-1.0,-1.0,99000.0,-1.0000000000000009
2017-06-12,NFLX,LOSS,-1.0,-1.0,98010.0,-1.9900000000000029
2017-07-03,NFLX,LOSS,-1.0,-1.0,97029.9,-2.970100000000009
2017-07-06,TSLA,LOSS,-1.0,-1.0,96059.601,-3.9403990000000055
2017-07-12,NVDA,WIN,0.9288221531049704,0.9288221531049703,96951.82385427224,-3.0481761457277656
2017-08-01,TSLA,LOSS,-1.0,-1.0,95982.30561572952,-4.0176943842704755
2017-09-15,NVDA,WIN,1.3670332553335607,1.3670332553335607,97294.41565273244,-2.7055843472675645
2017-10-26,AMD,PARTIAL_WIN,0.49881464386470575,0.49881464386470575,97779.73444567085,-2.2202655543291483
2017-10-27,MSFT,WIN,2.1319687969398284,2.1319687969398284,99864.36787378318,-0.13563212621682252
2017-10-27,NVDA,WIN,1.8201961325843705,1.8201961325843705,101682.0952356516,0.0
2017-10-27,TSLA,PARTIAL_WIN,0.4938897576766067,0.49388975767660676,102184.29268941146,0.0
2017-10-30,META,WIN,2.194839029916465,2.194839029916465,104427.07342780274,0.0
2017-11-08,AAPL,WIN,2.875282691111551,2.875282691111551,107429.6469949067,0.0
2017-11-22,AMZN,WIN,1.8534676268061225,1.8534676268061225,109420.82072354938,0.0
2018-01-05,NFLX,WIN,2.1759904865999364,2.1759904865999364,111801.80737285338,0.0
2018-01-11,NVDA,WIN,1.5633363005879515,1.5633363005879517,113549.64561222662,0.0
2018-01-16,AMZN,WIN,1.631092352867349,1.631092352867349,115401.74519851564,0.0
2018-01-16,GOOGL,WIN,1.8007472473104447,1.8007472473104449,117479.83894852613,0.0
2018-01-29,MSFT,WIN,1.8407892627833253,1.8407892627833253,119642.39520982574,0.0
2018-02-06,AAPL,LOSS,-1.0799430402501513,-1.0799430402501513,118350.32548956864,-1.0799430402501642
2018-02-08,GOOGL,LOSS,-1.0,-1.0,117166.82223467296,-2.0691436098476568
2018-02-09,MSFT,LOSS,-1.0,-1.0,115995.15401232622,-3.048452173749183
2018-02-09,TSLA,LOSS,-1.0,-1.0,114835.20247220296,-4.01796765201169
2018-02-15,NFLX,WIN,1.0163576543623392,1.0163576543623392,116002.3388424317,-3.042446919430364
2018-02-15,NVDA,WIN,2.0298519135758872,2.0298519135758872,118357.01453721759,-1.0743521728680538
2018-02-20,AMZN,WIN,1.5809320899419819,1.5809320899419819,120228.15856073376,0.0
2018-03-13,AMD,LOSS,-1.0,-1.0,119025.87697512642,-1.0000000000000009
2018-03-19,TSLA,LOSS,-1.0,-1.0,117835.61820537515,-1.9900000000000029
2018-03-20,META,PARTIAL_WIN,0.2664958484711103,0.2664958484711103,118149.64523591276,-1.7288074189134583
2018-03-23,GOOGL,LOSS,-1.0,-1.0,116968.14878355362,-2.7115193447243335
2018-03-27,NVDA,LOSS,-1.0,-1.0,115798.46729571809,-3.6844041512770875
2018-04-13,NFLX,WIN,1.0484095112485439,1.0484095112485439,117012.50944072643,-2.674622283583372
2018-04-27,AAPL,LOSS,-1.0,-1.0,115842.38434631916,-3.647876060747546
2018-06-05,AMZN,WIN,1.415264972626869,1.415264972626869,117481.8610354284,-2.2842382002532746
2018-06-05,NFLX,WIN,1.7872138426241668,1.787213842624167,119581.51311842607,-0.5378485789425458
